temperature;humidity;time;date
21.2;46.4;21.03:51;26.11.2021
21.2;46.4;21.04:01;26.11.2021
21.2;46.4;21.04:11;26.11.2021
21.2;46.4;21.04:21;26.11.2021
21.2;46.4;21.04:32;26.11.2021
21.2;46.4;21.04:42;26.11.2021
21.2;46.4;21.04:52;26.11.2021
21.2;46.4;21.05:03;26.11.2021
21.2;46.4;21.05:13;26.11.2021
21.2;46.3;21.05:23;26.11.2021
21.2;46.4;21.05:33;26.11.2021
21.2;46.3;21.05:44;26.11.2021
21.2;46.4;21.05:54;26.11.2021
21.2;46.3;21.06:04;26.11.2021
21.2;46.4;21.06:14;26.11.2021
21.2;46.4;21.06:25;26.11.2021
21.2;46.4;21.06:35;26.11.2021
21.2;46.3;21.06:45;26.11.2021
21.2;46.3;21.06:55;26.11.2021
21.2;46.3;21.07:06;26.11.2021
21.2;46.3;21.07:16;26.11.2021
21.2;46.3;21.07:26;26.11.2021
21.2;46.3;21.07:37;26.11.2021
21.2;46.3;21.07:47;26.11.2021
21.2;46.3;21.07:57;26.11.2021
21.2;46.3;21.08:07;26.11.2021
21.2;46.3;21.08:18;26.11.2021
21.2;46.3;21.08:28;26.11.2021
21.2;46.3;21.08:38;26.11.2021
21.2;46.3;21.08:48;26.11.2021
21.2;46.3;21.08:59;26.11.2021
21.2;46.3;21.09:09;26.11.2021
21.2;46.4;21.09:19;26.11.2021
21.2;46.4;21.09:29;26.11.2021
21.2;46.4;21.09:40;26.11.2021
21.2;46.4;21.09:50;26.11.2021
21.2;46.4;21.10:00;26.11.2021
21.2;46.4;21.10:11;26.11.2021
21.2;46.4;21.10:21;26.11.2021
21.2;46.4;21.10:31;26.11.2021
21.2;46.4;21.10:41;26.11.2021
21.2;46.4;21.10:52;26.11.2021
21.2;46.4;21.11:02;26.11.2021
21.2;46.4;21.11:12;26.11.2021
21.2;46.4;21.11:22;26.11.2021
21.2;46.4;21.11:33;26.11.2021
21.2;46.4;21.11:43;26.11.2021
21.2;46.4;21.11:53;26.11.2021
21.2;46.4;21.12:03;26.11.2021
21.2;46.4;21.12:14;26.11.2021
21.2;46.4;21.12:24;26.11.2021
21.2;46.4;21.12:34;26.11.2021
21.2;46.4;21.12:45;26.11.2021
21.2;46.4;21.12:55;26.11.2021
21.2;46.4;21.13:05;26.11.2021
21.2;46.4;21.13:15;26.11.2021
21.2;46.4;21.13:26;26.11.2021
21.2;46.4;21.13:36;26.11.2021
21.2;46.4;21.13:46;26.11.2021
21.2;46.4;21.13:56;26.11.2021
21.2;46.4;21.14:07;26.11.2021
21.2;46.4;21.14:17;26.11.2021
21.2;46.4;21.14:27;26.11.2021
21.2;46.4;21.14:38;26.11.2021
21.2;46.4;21.14:48;26.11.2021
21.2;46.4;21.14:58;26.11.2021
21.2;46.4;21.15:08;26.11.2021
21.2;46.4;21.15:19;26.11.2021
21.2;46.4;21.15:29;26.11.2021
21.2;46.4;21.15:39;26.11.2021
21.2;46.4;21.15:49;26.11.2021
21.2;46.4;21.16:00;26.11.2021
21.2;46.4;21.16:10;26.11.2021
21.2;46.4;21.16:20;26.11.2021
21.2;46.4;21.16:30;26.11.2021
21.2;46.4;21.16:41;26.11.2021
21.2;46.4;21.16:51;26.11.2021
21.2;46.4;21.17:01;26.11.2021
21.2;46.4;21.17:12;26.11.2021
21.2;46.4;21.17:22;26.11.2021
21.2;46.4;21.17:32;26.11.2021
21.2;46.4;21.17:42;26.11.2021
21.2;46.4;21.17:53;26.11.2021
21.2;46.4;21.18:03;26.11.2021
21.2;46.4;21.18:13;26.11.2021
21.2;46.4;21.18:23;26.11.2021
21.2;46.4;21.18:34;26.11.2021
21.2;46.4;21.18:44;26.11.2021
21.2;46.4;21.18:54;26.11.2021
21.2;46.4;21.19:04;26.11.2021
21.2;46.4;21.19:15;26.11.2021
21.2;46.4;21.19:25;26.11.2021
21.2;46.4;21.19:35;26.11.2021
21.2;46.4;21.19:46;26.11.2021
21.2;46.4;21.19:56;26.11.2021
21.2;46.4;21.20:06;26.11.2021
21.2;46.4;21.20:16;26.11.2021
21.2;46.4;21.20:27;26.11.2021
21.2;46.4;21.20:37;26.11.2021
21.2;46.4;21.20:47;26.11.2021
21.2;46.4;21.20:57;26.11.2021
21.2;46.4;21.21:08;26.11.2021
21.2;46.4;21.21:18;26.11.2021
21.2;46.4;21.21:28;26.11.2021
21.2;46.4;21.21:38;26.11.2021
21.2;46.4;21.21:49;26.11.2021
21.2;46.4;21.21:59;26.11.2021
21.2;46.4;21.22:09;26.11.2021
21.2;46.4;21.22:20;26.11.2021
21.2;46.4;21.22:30;26.11.2021
21.2;46.4;21.22:40;26.11.2021
21.2;46.4;21.22:50;26.11.2021
21.2;46.4;21.23:01;26.11.2021
21.2;46.5;21.23:11;26.11.2021
21.2;46.6;21.23:21;26.11.2021
21.2;46.6;21.23:31;26.11.2021
21.2;46.7;21.23:42;26.11.2021
21.2;46.7;21.23:52;26.11.2021
21.2;46.7;21.24:02;26.11.2021
21.2;46.7;21.24:12;26.11.2021
21.2;46.8;21.24:23;26.11.2021
21.2;46.7;21.24:33;26.11.2021
21.2;46.7;21.24:43;26.11.2021
21.2;46.7;21.24:54;26.11.2021
21.2;46.8;21.25:04;26.11.2021
21.2;46.8;21.25:14;26.11.2021
21.2;46.7;21.25:24;26.11.2021
21.2;46.7;21.25:35;26.11.2021
21.2;46.6;21.25:45;26.11.2021
21.2;46.6;21.25:55;26.11.2021
21.2;46.7;21.26:05;26.11.2021
21.2;46.8;21.26:16;26.11.2021
21.2;46.8;21.26:26;26.11.2021
21.2;46.8;21.26:36;26.11.2021
21.2;46.8;21.26:46;26.11.2021
21.2;46.8;21.26:57;26.11.2021
21.2;46.8;21.27:07;26.11.2021
21.2;46.8;21.27:17;26.11.2021
21.2;46.8;21.27:28;26.11.2021
21.2;46.8;21.27:38;26.11.2021
21.2;46.8;21.27:48;26.11.2021
21.2;46.8;21.27:58;26.11.2021
21.2;46.9;21.28:09;26.11.2021
21.2;46.9;21.28:19;26.11.2021
21.2;46.8;21.28:29;26.11.2021
21.2;46.9;21.28:39;26.11.2021
21.2;46.8;21.28:50;26.11.2021
21.2;46.8;21.29:00;26.11.2021
21.2;46.8;21.29:10;26.11.2021
21.2;46.8;21.29:20;26.11.2021
21.2;46.8;21.29:31;26.11.2021
21.2;46.8;21.29:41;26.11.2021
21.2;46.9;21.29:51;26.11.2021
21.2;46.8;21.30:02;26.11.2021
21.2;46.9;21.30:12;26.11.2021
21.2;46.8;21.30:22;26.11.2021
21.2;46.8;21.30:32;26.11.2021
21.2;46.8;21.30:43;26.11.2021
21.2;46.8;21.30:53;26.11.2021
21.2;46.8;21.31:03;26.11.2021
21.2;46.8;21.31:13;26.11.2021
21.2;46.8;21.31:24;26.11.2021
21.2;46.9;21.31:34;26.11.2021
21.2;46.9;21.31:44;26.11.2021
21.3;46.9;21.31:54;26.11.2021
21.3;46.9;21.32:05;26.11.2021
21.2;46.8;21.32:15;26.11.2021
21.2;46.8;21.32:25;26.11.2021
21.2;46.8;21.32:36;26.11.2021
21.2;46.8;21.32:46;26.11.2021
21.2;46.8;21.32:56;26.11.2021
21.2;46.8;21.33:06;26.11.2021
21.2;46.8;21.33:17;26.11.2021
21.2;46.8;21.33:27;26.11.2021
21.2;46.8;21.33:37;26.11.2021
21.2;46.8;21.33:47;26.11.2021
21.2;46.8;21.33:58;26.11.2021
21.2;46.8;21.34:08;26.11.2021
21.2;46.8;21.34:18;26.11.2021
21.2;46.8;21.34:28;26.11.2021
21.2;46.7;21.34:39;26.11.2021
21.2;46.7;21.34:49;26.11.2021
21.3;46.8;21.34:59;26.11.2021
21.2;46.7;21.35:10;26.11.2021
21.2;46.8;21.52:29;26.11.2021
21.3;46.4;21.52:55;26.11.2021
21.3;46.4;21.53:20;26.11.2021
21.3;46.4;21.53:45;26.11.2021
21.3;46.4;21.54:11;26.11.2021
21.3;46.4;21.54:36;26.11.2021
21.3;46.4;22.06:38;26.11.2021
21.3;46.8;22.07:03;26.11.2021
21.3;46.8;22.07:29;26.11.2021
21.3;46.8;22.08:38;26.11.2021
21.3;46.9;22.08:48;26.11.2021
21.3;46.8;22.09:14;26.11.2021
21.3;47.0;22.09:49;26.11.2021
21.3;46.9;22.10:47;26.11.2021
21.4;47.0;22.11:07;26.11.2021
21.4;47.0;22.11:30;26.11.2021
21.3;47.1;22.17:44;26.11.2021
21.3;47.1;22.18:26;26.11.2021
21.4;47.4;22.34:51;26.11.2021
21.4;47.3;22.35:16;26.11.2021
21.4;47.3;22.37:50;26.11.2021
21.5;47.5;22.39:45;26.11.2021
21.5;47.5;22.42:43;26.11.2021
21.5;47.5;22.44:50;26.11.2021
21.4;47.7;22.45:19;26.11.2021
21.4;47.8;22.45:32;26.11.2021
21.4;47.7;22.45:48;26.11.2021
21.4;47.7;22.46:14;26.11.2021
21.4;47.7;22.46:30;26.11.2021
21.4;47.7;22.46:55;26.11.2021
21.4;47.9;22.47:20;26.11.2021
21.4;47.9;22.47:45;26.11.2021
21.4;47.9;22.48:11;26.11.2021
21.4;47.9;22.48:36;26.11.2021
21.4;47.8;22.49:01;26.11.2021
21.4;47.8;22.49:27;26.11.2021
21.5;47.8;22.55:39;26.11.2021
21.4;47.8;22.57:08;26.11.2021
21.4;47.7;22.58:03;26.11.2021
21.5;45.9;22.58:11;26.11.2021
21.4;47.7;22.58:20;26.11.2021
21.4;47.8;23.00:10;26.11.2021
21.5;47.8;23.00:36;26.11.2021
21.5;47.8;23.01:23;26.11.2021
21.5;47.9;23.01:49;26.11.2021
21.5;47.9;23.02:14;26.11.2021
21.5;47.9;23.02:27;26.11.2021
21.5;48.0;23.02:53;26.11.2021
21.5;47.9;23.03:18;26.11.2021
21.5;48.0;23.03:24;26.11.2021
21.5;48.0;23.04:14;26.11.2021
21.5;48.0;23.05:47;26.11.2021
21.5;48.0;23.06:12;26.11.2021
21.5;48.0;23.06:38;26.11.2021
25.1;99.9;23.07:03;26.11.2021
26.4;99.9;23.07:46;26.11.2021
24.0;99.9;23.09:37;26.11.2021
22.7;53.3;23.09:48;26.11.2021
22.6;52.1;23.09:58;26.11.2021
22.6;50.6;23.10:08;26.11.2021
22.5;49.6;23.10:18;26.11.2021
22.4;49.1;23.10:29;26.11.2021
22.4;48.9;23.10:39;26.11.2021
22.4;48.9;23.10:49;26.11.2021
22.3;48.8;23.10:56;26.11.2021
22.3;48.9;23.11:07;26.11.2021
22.2;48.8;23.11:17;26.11.2021
22.2;48.8;23.11:27;26.11.2021
22.2;48.9;23.11:37;26.11.2021
22.1;48.8;23.11:48;26.11.2021
22.1;48.8;23.11:58;26.11.2021
22.1;48.9;23.12:08;26.11.2021
22.0;48.8;23.12:21;26.11.2021
22.0;48.9;23.12:31;26.11.2021
22.0;49.3;23.12:41;26.11.2021
22.0;49.4;23.12:52;26.11.2021
21.9;49.1;23.13:04;26.11.2021
21.9;49.1;23.13:14;26.11.2021
21.9;49.1;23.13:25;26.11.2021
21.9;49.0;23.13:35;26.11.2021
21.9;49.0;23.13:45;26.11.2021
21.9;49.0;23.13:55;26.11.2021
21.8;49.0;23.14:06;26.11.2021
21.8;49.0;23.14:16;26.11.2021
21.8;49.0;23.14:26;26.11.2021
21.8;49.0;23.14:37;26.11.2021
21.8;49.0;23.14:47;26.11.2021
21.8;49.0;23.14:59;26.11.2021
21.7;48.9;23.15:10;26.11.2021
21.7;48.9;23.15:20;26.11.2021
21.8;49.3;23.15:32;26.11.2021
21.7;49.0;23.15:43;26.11.2021
21.7;49.1;23.16:29;26.11.2021
21.7;49.1;23.16:40;26.11.2021
21.7;49.1;23.16:50;26.11.2021
21.7;49.1;23.17:00;26.11.2021
21.6;49.0;23.17:10;26.11.2021
21.7;49.1;23.17:21;26.11.2021
21.6;49.1;23.17:31;26.11.2021
21.6;49.1;23.17:41;26.11.2021
21.7;49.2;23.17:51;26.11.2021
21.7;49.2;23.18:02;26.11.2021
21.6;49.1;23.18:12;26.11.2021
21.6;49.1;23.18:22;26.11.2021
21.6;49.1;23.18:33;26.11.2021
21.6;49.1;23.18:43;26.11.2021
21.6;49.0;23.18:53;26.11.2021
21.6;49.1;23.19:03;26.11.2021
21.6;49.1;23.19:14;26.11.2021
21.6;49.1;23.19:26;26.11.2021
21.6;49.1;23.19:36;26.11.2021
21.6;49.1;23.19:47;26.11.2021
21.6;49.1;23.19:57;26.11.2021
21.6;49.1;23.20:07;26.11.2021
21.6;49.1;23.20:17;26.11.2021
21.6;49.2;23.20:28;26.11.2021
21.6;49.1;23.20:38;26.11.2021
21.6;49.2;23.20:48;26.11.2021
21.6;49.4;23.20:59;26.11.2021
21.6;49.3;23.21:09;26.11.2021
21.6;49.2;23.21:19;26.11.2021
21.6;49.0;23.21:29;26.11.2021
21.6;48.2;23.21:40;26.11.2021
21.6;46.6;23.21:50;26.11.2021
21.6;46.2;23.22:00;26.11.2021
21.6;44.3;23.22:10;26.11.2021
21.6;43.0;23.22:21;26.11.2021
21.6;42.2;23.22:31;26.11.2021
21.6;41.7;23.22:41;26.11.2021
21.6;41.3;23.22:51;26.11.2021
21.6;40.8;23.23:02;26.11.2021
21.6;40.6;23.23:12;26.11.2021
21.6;40.4;23.23:22;26.11.2021
21.6;40.2;23.23:33;26.11.2021
21.6;39.9;23.23:43;26.11.2021
21.6;39.7;23.23:53;26.11.2021
21.6;39.8;23.24:03;26.11.2021
21.6;39.8;23.24:14;26.11.2021
21.6;39.6;23.24:24;26.11.2021
21.6;39.5;23.24:34;26.11.2021
21.6;39.5;23.24:44;26.11.2021
21.6;39.7;23.24:55;26.11.2021
21.5;39.7;23.25:05;26.11.2021
21.6;39.9;23.25:15;26.11.2021
21.6;40.0;23.25:26;26.11.2021
21.6;40.0;23.25:36;26.11.2021
21.6;40.1;23.25:46;26.11.2021
21.6;40.2;23.25:56;26.11.2021
21.6;40.3;23.26:07;26.11.2021
21.6;40.3;23.26:17;26.11.2021
21.6;40.3;23.26:27;26.11.2021
21.6;40.4;23.26:40;26.11.2021
21.5;40.4;23.26:50;26.11.2021
21.6;40.5;23.27:00;26.11.2021
21.5;40.6;23.27:10;26.11.2021
21.5;40.7;23.27:21;26.11.2021
21.6;40.8;23.27:31;26.11.2021
21.5;40.7;23.27:41;26.11.2021
21.5;40.8;23.27:52;26.11.2021
21.6;40.8;23.28:02;26.11.2021
21.5;40.8;23.28:12;26.11.2021
21.5;40.8;23.28:22;26.11.2021
21.5;41.0;23.28:35;26.11.2021
21.5;41.0;23.28:45;26.11.2021
21.6;41.1;23.28:55;26.11.2021
21.5;41.0;23.29:10;26.11.2021
21.5;41.1;23.29:20;26.11.2021
21.6;41.2;23.29:31;26.11.2021
21.5;41.1;23.29:41;26.11.2021
21.6;41.1;23.29:51;26.11.2021
21.6;41.1;23.30:01;26.11.2021
21.5;41.0;23.30:12;26.11.2021
21.5;41.0;23.30:22;26.11.2021
21.5;40.9;23.30:32;26.11.2021
21.6;41.0;23.30:43;26.11.2021
21.6;41.0;23.30:53;26.11.2021
21.6;40.8;23.31:03;26.11.2021
21.5;40.8;23.31:13;26.11.2021
21.5;40.8;23.31:24;26.11.2021
21.6;40.8;23.31:34;26.11.2021
21.5;41.0;23.31:44;26.11.2021
21.5;41.0;23.31:54;26.11.2021
21.5;41.0;23.32:05;26.11.2021
21.5;41.0;23.32:17;26.11.2021
21.5;41.0;23.32:27;26.11.2021
21.5;41.0;23.32:38;26.11.2021
21.5;41.1;23.32:48;26.11.2021
21.5;41.3;23.32:58;26.11.2021
21.5;41.3;23.33:09;26.11.2021
21.5;41.4;23.33:19;26.11.2021
21.5;41.5;23.35:37;26.11.2021
21.5;42.2;23.35:48;26.11.2021
21.5;42.3;23.35:58;26.11.2021
21.5;42.3;23.36:00;26.11.2021
21.5;42.3;23.36:10;26.11.2021
21.5;42.3;23.36:20;26.11.2021
21.5;42.4;23.37:10;26.11.2021
21.5;42.5;23.37:27;26.11.2021
21.5;42.6;23.37:37;26.11.2021
21.5;42.7;23.37:47;26.11.2021
21.5;42.7;23.37:50;26.11.2021
21.5;42.7;23.38:00;26.11.2021
21.5;43.5;23.38:11;26.11.2021
21.5;43.1;23.38:21;26.11.2021
21.5;42.9;23.38:31;26.11.2021
21.5;42.9;23.38:43;26.11.2021
21.5;42.9;23.38:53;26.11.2021
21.5;42.9;23.39:05;26.11.2021
21.5;43.0;23.40:56;26.11.2021
21.5;43.3;23.41:06;26.11.2021
21.5;43.3;23.41:16;26.11.2021
21.5;43.3;23.41:34;26.11.2021
21.5;43.4;23.41:44;26.11.2021
21.5;43.5;23.41:57;26.11.2021
21.4;43.4;23.42:41;26.11.2021
21.5;43.6;23.42:55;26.11.2021
21.5;43.6;23.43:06;26.11.2021
21.5;43.6;23.43:16;26.11.2021
21.5;43.7;23.43:26;26.11.2021
21.5;43.7;23.43:36;26.11.2021
21.5;43.7;23.43:47;26.11.2021
21.5;43.9;23.43:57;26.11.2021
21.5;43.9;23.44:07;26.11.2021
21.5;43.9;23.44:18;26.11.2021
21.5;43.9;23.44:28;26.11.2021
21.5;44.0;23.44:38;26.11.2021
21.5;44.1;23.44:48;26.11.2021
21.5;44.0;23.44:59;26.11.2021
21.5;43.9;23.45:09;26.11.2021
21.5;43.9;23.45:19;26.11.2021
21.5;43.9;23.45:29;26.11.2021
21.5;43.6;23.45:40;26.11.2021
21.5;43.0;23.45:50;26.11.2021
21.5;42.2;23.46:00;26.11.2021
21.5;41.5;23.46:10;26.11.2021
21.5;41.3;23.46:21;26.11.2021
21.5;41.2;23.46:31;26.11.2021
21.5;40.7;23.46:41;26.11.2021
21.5;40.4;23.46:52;26.11.2021
21.5;40.6;23.47:02;26.11.2021
22.2;46.2;02.23:14;27.11.2021
22.2;47.9;02.23:24;27.11.2021
22.2;47.9;02.23:34;27.11.2021
22.2;47.9;02.23:44;27.11.2021
22.2;47.9;02.23:55;27.11.2021
22.2;47.9;02.24:05;27.11.2021
22.2;47.9;02.24:15;27.11.2021
20.4;38.6;12.07:11;27.11.2021
20.3;38.4;12.07:22;27.11.2021
20.3;38.4;12.07:32;27.11.2021
20.3;38.5;12.07:42;27.11.2021
20.3;38.6;12.07:52;27.11.2021
20.3;38.7;12.08:03;27.11.2021
20.3;38.7;12.08:13;27.11.2021
20.3;38.8;12.08:23;27.11.2021
20.3;39.0;12.08:36;27.11.2021
20.3;39.0;12.08:46;27.11.2021
20.3;39.0;12.08:56;27.11.2021
20.3;39.0;12.09:06;27.11.2021
20.3;39.1;12.09:17;27.11.2021
20.3;39.1;12.09:27;27.11.2021
20.3;39.1;12.09:37;27.11.2021
20.3;39.1;12.09:48;27.11.2021
20.3;39.2;12.09:58;27.11.2021
20.3;39.0;12.10:10;27.11.2021
20.3;39.0;12.10:21;27.11.2021
20.3;38.9;12.10:31;27.11.2021
20.3;38.9;12.10:41;27.11.2021
20.3;39.0;12.10:51;27.11.2021
20.3;38.9;12.11:02;27.11.2021
20.3;38.8;12.11:14;27.11.2021
20.3;38.9;12.11:24;27.11.2021
20.3;38.8;12.11:35;27.11.2021
20.3;38.8;12.11:45;27.11.2021
20.3;38.8;12.11:55;27.11.2021
20.3;38.8;12.12:06;27.11.2021
20.3;38.8;12.12:16;27.11.2021
20.3;38.7;12.12:26;27.11.2021
20.3;38.7;12.12:36;27.11.2021
20.3;38.7;12.12:47;27.11.2021
20.3;38.8;12.12:59;27.11.2021
20.3;38.7;12.13:09;27.11.2021
20.3;38.7;12.13:20;27.11.2021
20.3;38.7;12.13:30;27.11.2021
20.3;38.6;12.13:40;27.11.2021
20.3;38.7;12.13:50;27.11.2021
20.3;38.6;12.14:01;27.11.2021
20.3;38.6;12.14:11;27.11.2021
20.3;38.7;12.14:21;27.11.2021
20.3;38.7;12.14:32;27.11.2021
20.3;38.6;12.14:42;27.11.2021
20.3;38.6;12.14:52;27.11.2021
20.3;38.6;12.15:02;27.11.2021
20.3;38.6;12.15:13;27.11.2021
20.3;38.6;12.15:23;27.11.2021
20.3;38.6;12.15:33;27.11.2021
20.3;38.5;12.15:43;27.11.2021
20.3;38.4;12.15:54;27.11.2021
20.3;38.5;12.16:04;27.11.2021
20.3;38.5;12.16:14;27.11.2021
20.3;38.4;12.16:24;27.11.2021
20.3;38.5;12.16:35;27.11.2021
20.3;38.4;12.16:45;27.11.2021
20.3;38.4;12.16:55;27.11.2021
20.3;38.4;12.17:06;27.11.2021
20.3;38.4;12.17:16;27.11.2021
20.3;38.4;12.17:26;27.11.2021
20.3;38.4;12.17:36;27.11.2021
20.3;38.5;12.17:47;27.11.2021
20.3;38.5;12.17:57;27.11.2021
20.3;38.5;12.18:07;27.11.2021
20.3;38.4;12.18:17;27.11.2021
20.3;38.4;12.18:28;27.11.2021
20.3;38.4;12.18:38;27.11.2021
20.3;38.4;12.18:48;27.11.2021
20.3;38.4;12.18:58;27.11.2021
20.3;38.4;12.19:09;27.11.2021
20.3;38.4;12.19:19;27.11.2021
20.3;38.4;12.19:29;27.11.2021
20.3;38.4;12.19:39;27.11.2021
20.3;38.4;12.19:50;27.11.2021
20.3;38.4;12.20:00;27.11.2021
20.3;38.4;12.20:10;27.11.2021
20.3;38.4;12.20:21;27.11.2021
20.3;38.4;12.20:31;27.11.2021
20.3;38.4;12.20:41;27.11.2021
20.3;38.4;12.20:51;27.11.2021
20.3;38.4;12.21:02;27.11.2021
20.3;38.4;12.21:12;27.11.2021
20.3;38.4;12.21:22;27.11.2021
20.3;38.4;12.21:32;27.11.2021
20.3;38.4;12.21:45;27.11.2021
20.2;38.4;12.21:55;27.11.2021
20.3;38.4;12.22:06;27.11.2021
20.2;38.4;12.22:16;27.11.2021
20.3;38.4;12.22:26;27.11.2021
20.3;38.4;12.22:36;27.11.2021
20.3;38.4;12.22:49;27.11.2021
20.2;38.3;12.22:59;27.11.2021
20.3;38.4;12.23:09;27.11.2021
20.3;38.4;12.23:20;27.11.2021
20.3;38.4;12.23:30;27.11.2021
20.2;38.2;12.23:45;27.11.2021
20.3;38.3;12.23:55;27.11.2021
20.3;38.3;12.24:05;27.11.2021
20.3;38.2;12.24:16;27.11.2021
20.3;38.2;12.24:26;27.11.2021
20.3;38.2;12.24:36;27.11.2021
20.3;38.2;12.24:46;27.11.2021
20.3;38.2;12.24:57;27.11.2021
20.3;38.2;12.25:07;27.11.2021
20.3;38.2;12.25:17;27.11.2021
20.2;38.1;12.25:27;27.11.2021
20.3;38.2;12.25:38;27.11.2021
20.3;38.2;12.25:48;27.11.2021
20.3;38.2;12.25:58;27.11.2021
20.2;38.1;12.26:08;27.11.2021
20.2;38.1;12.26:19;27.11.2021
20.3;38.1;12.26:29;27.11.2021
20.3;38.1;12.26:39;27.11.2021
20.3;38.0;12.26:50;27.11.2021
20.3;38.0;12.27:00;27.11.2021
20.3;38.1;12.27:10;27.11.2021
20.3;38.0;12.27:20;27.11.2021
20.2;38.0;12.27:31;27.11.2021
20.2;37.9;12.27:41;27.11.2021
20.3;38.0;12.27:51;27.11.2021
20.3;38.0;12.28:01;27.11.2021
20.3;38.1;12.28:12;27.11.2021
20.2;38.0;12.28:22;27.11.2021
20.3;38.1;12.28:32;27.11.2021
20.3;38.1;12.28:42;27.11.2021
20.3;38.0;12.28:53;27.11.2021
20.3;38.0;12.29:03;27.11.2021
20.3;38.0;12.29:15;27.11.2021
20.3;38.0;12.29:28;27.11.2021
20.2;37.9;12.29:38;27.11.2021
20.2;38.0;12.29:49;27.11.2021
20.3;37.9;12.29:59;27.11.2021
20.2;37.9;12.30:09;27.11.2021
20.3;38.0;12.30:19;27.11.2021
20.2;38.0;12.30:30;27.11.2021
